waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
89,-110.046470024413,-389.449133355906,28.5410343592032,A2256W000748,60436,-110.04647002441311,-389.4491333559063,28.54103435920319,3.595093471822542e-13
90,-109.80422504233,-389.011735178784,28.5405834644703,A2256W000748,60437,-109.80422504233027,-389.01173517878436,28.540583464470338,4.3500073914554965e-13
91,-109.561980060247,-388.574337001662,28.5401325697375,A2256W000748,60438,-109.56198006024744,-388.5743370016624,28.540132569737484,5.936328356655571e-13
92,-109.32072252294,-388.136393365612,28.5397174368239,A2256W000748,60439,-109.32072252293992,-388.1363933656121,28.539717436823945,1.4210854715202004e-13
93,-109.079464985632,-387.698449729562,28.5393023039104,A2256W000748,60440,-109.0794649856324,-387.6984497295618,28.539302303910407,4.582862941503293e-13
94,-108.838207448325,-387.260506093511,28.5388871709969,A2256W000748,60441,-108.83820744832488,-387.2605060935115,28.53888717099687,4.687428401686771e-13
95,-108.596949911017,-386.822562457461,28.5384720380833,A2256W000748,60442,-108.59694991101736,-386.8225624574612,28.53847203808333,3.940790697885759e-13
96,-108.35569237371,-386.384618821411,28.5380569051698,A2256W000748,60443,-108.35569237370984,-386.38461882141087,28.538056905169793,1.9328852131274408e-13
97,-108.114434836402,-385.946675185361,28.5376417722563,A2256W000748,60444,-108.11443483640232,-385.94667518536056,28.537641772256254,5.600230819947578e-13
98,-107.871790050009,-385.509498439548,28.5376653778003,A2256W000748,60445,-107.87179005000898,-385.5094984395484,28.537665377800323,3.981576164199481e-13
99,-107.629145263616,-385.072321693736,28.5376889833444,A2256W000748,60446,-107.62914526361564,-385.0723216937362,28.537688983344392,4.218015328563021e-13
100,-107.386500477222,-384.635144947924,28.5377125888885,A2256W000748,60447,-107.3865004772223,-384.63514494792406,28.53771258888846,3.037933755426813e-13
101,-107.143855690829,-384.197968202112,28.5377361944325,A2256W000748,60448,-107.14385569082896,-384.1979682021119,28.53773619443253,1.214175959108492e-13
102,-106.901210904436,-383.7607914563,28.5377597999766,A2256W000748,60449,-106.90121090443562,-383.7607914562997,28.537759799976598,4.77493177197955e-13
103,-106.658566118042,-383.323614710488,28.5377834055207,A2256W000748,60450,-106.65856611804227,-383.32361471048756,28.537783405520667,5.288653160826128e-13
104,-106.415921331649,-382.886437964675,28.5378070110647,A2256W000748,60451,-106.41592133164893,-382.8864379646754,28.537807011064736,4.0419827920822775e-13
105,-106.173276545256,-382.449261218863,28.5378306166088,A2256W000748,60452,-106.17327654525559,-382.4492612188632,28.537830616608804,4.706775815088575e-13
