waypoint_idx,x,y,right_ok,left_ok,ego_lane,road_width,link_id
365,-107.035,-279.322,0,0,1,3.50,A2256W000236
366,-106.793,-278.885,0,0,1,3.50,A2256W000236
367,-106.550,-278.448,0,0,1,3.50,A2256W000236
368,-106.307,-278.011,0,0,1,3.50,A2256W000236
369,-106.065,-277.574,0,0,1,3.50,A2256W000236
370,-105.822,-277.136,0,0,1,3.50,A2256W000236
371,-105.579,-276.699,0,0,1,3.50,A2256W000236
372,-105.337,-276.262,0,0,1,3.50,A2256W000236
373,-105.094,-275.825,0,0,1,3.50,A2256W000236
374,-104.851,-275.388,0,0,1,3.50,A2256W000236
375,-104.716,-275.144,0,0,1,3.50,A2256W000219
376,-104.474,-274.707,0,0,1,3.50,A2256W000219
377,-104.233,-274.269,0,0,1,3.50,A2256W000219
378,-103.991,-273.832,0,0,1,3.50,A2256W000219
379,-103.748,-273.395,0,0,1,3.50,A2256W000219
380,-103.505,-272.958,0,0,1,3.50,A2256W000219
381,-103.262,-272.521,0,0,1,3.50,A2256W000219
382,-103.019,-272.084,0,0,1,3.50,A2256W000219
383,-102.776,-271.647,0,0,1,3.50,A2256W000219
384,-102.533,-271.210,0,0,1,3.50,A2256W000219
385,-102.290,-270.774,0,0,1,3.50,A2256W000219
386,-102.047,-270.337,0,0,1,3.50,A2256W000219
387,-101.805,-269.899,0,0,1,3.50,A2256W000219
388,-101.563,-269.461,0,0,1,3.50,A2256W000219
389,-101.322,-269.024,0,0,1,3.50,A2256W000219
390,-101.080,-268.586,0,0,1,3.50,A2256W000219
391,-100.838,-268.148,0,0,1,3.50,A2256W000219
392,-100.597,-267.710,0,0,1,3.50,A2256W000219
393,-100.355,-267.273,0,0,1,3.50,A2256W000219
394,-100.114,-266.835,0,0,1,3.50,A2256W000219
395,-99.873,-266.397,0,0,1,3.50,A2256W000219
396,-99.632,-265.959,0,0,1,3.50,A2256W000219
397,-99.391,-265.520,0,0,1,3.50,A2256W000219
398,-99.150,-265.082,0,0,1,3.50,A2256W000219
399,-98.909,-264.644,0,0,1,3.50,A2256W000219
400,-98.668,-264.206,0,0,1,3.50,A2256W000219
401,-98.427,-263.768,0,0,1,3.50,A2256W000219
402,-98.185,-263.330,0,0,1,3.50,A2256W000219
403,-97.944,-262.892,0,0,1,3.50,A2256W000219
404,-97.703,-262.454,0,0,1,3.50,A2256W000219
405,-97.459,-262.018,0,0,1,3.50,A2256W000219
406,-97.216,-261.581,0,0,1,3.50,A2256W000219
407,-96.972,-261.145,0,0,1,3.50,A2256W000219
408,-96.728,-260.708,0,0,1,3.50,A2256W000219
409,-96.484,-260.272,0,0,1,3.50,A2256W000219
410,-96.240,-259.835,0,0,1,3.50,A2256W000219
411,-95.996,-259.399,0,0,1,3.50,A2256W000219
412,-95.752,-258.962,0,0,1,3.50,A2256W000219
413,-95.509,-258.526,0,0,1,3.50,A2256W000219
414,-95.266,-258.089,0,0,1,3.50,A2256W000219
415,-95.023,-257.651,0,0,1,3.50,A2256W000219
416,-94.780,-257.214,0,0,1,3.50,A2256W000219
417,-94.538,-256.777,0,0,1,3.50,A2256W000219
418,-94.295,-256.340,0,0,1,3.50,A2256W000219
419,-94.052,-255.903,0,0,1,3.50,A2256W000219
420,-93.967,-255.750,0,0,1,3.50,A2256W000219
421,-93.726,-255.313,0,0,1,3.50,A2256W000215
422,-93.484,-254.875,0,0,1,3.50,A2256W000215
423,-93.243,-254.437,0,0,1,3.50,A2256W000215
424,-93.001,-254.000,0,0,1,3.50,A2256W000215
425,-92.759,-253.562,0,0,1,3.50,A2256W000215
426,-92.518,-253.125,0,0,1,3.50,A2256W000215
427,-92.276,-252.687,0,0,1,3.50,A2256W000215
428,-92.034,-252.249,0,0,1,3.50,A2256W000215
429,-91.793,-251.812,0,0,1,3.50,A2256W000215
430,-91.551,-251.374,0,0,1,3.50,A2256W000215
431,-91.309,-250.936,0,0,1,3.50,A2256W000215
432,-91.068,-250.498,0,0,1,3.50,A2256W000215
433,-90.826,-250.061,0,0,1,3.50,A2256W000215
